run_id,experiment_name,model_name,validation_mode,include_time_trend,add_cyclical,drop_original_cyclical,add_interactions,add_address_engineering,categorical_encoding,numeric_strategy,geo_mode,n_geo_clusters,numeric_bins,sparse_output,random_state,fold,train_start,train_end,validation_start,validation_end,train_rows,validation_rows,training_seconds,log_loss,accuracy,top_3_accuracy,macro_f1,logistic_c,logistic_max_iter,logistic_tol,logistic_solver,logistic_l1_ratio,logistic_class_weight,model_iterations,forest_n_estimators,forest_criterion,forest_max_depth,forest_min_samples_split,forest_min_samples_leaf,forest_max_features,forest_bootstrap,forest_class_weight,forest_n_jobs,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,xgb_colsample_bytree,xgb_min_child_weight,xgb_reg_alpha,xgb_reg_lambda,xgb_gamma
logistic_encoding_frequency_geo_dist40__20260715T043756Z,logistic_encoding_frequency_geo_dist40,logistic,temporal_cv,True,True,False,True,True,frequency,standard,raw_distances,40,10,False,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,231.846711124992,2.514310758073904,0.2429787297918011,0.4904606793857608,0.0430355984004885,0.1,500.0,0.0001,saga,,,,,,,,,,,,,,,,,,,,,
logistic_encoding_ordinal_geo_dist40__20260715T044952Z,logistic_encoding_ordinal_geo_dist40,logistic,temporal_cv,True,True,False,True,True,ordinal,standard,raw_distances,40,10,False,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,715.5788905419904,2.677812626753696,0.2162145934343055,0.4574370675032648,0.0224582872570359,0.1,500.0,0.0001,saga,,,,,,,,,,,,,,,,,,,,,
logistic_finalist_temporal_cv__20260716T204428Z,logistic_finalist_temporal_cv,logistic,temporal_cv,True,True,False,True,True,onehot,standard,raw_distances,40,10,True,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,1810.111946124991,2.406293679897239,0.2791996277338296,0.5282126720605232,0.0794026938199367,0.1,750.0,0.0001,saga,0.0,,750.0,,,,,,,,,,,,,,,,,,
logistic_finalist_temporal_cv__20260716T204428Z,logistic_finalist_temporal_cv,logistic,temporal_cv,True,True,False,True,True,onehot,standard,raw_distances,40,10,True,12345,2,2003-01-06 00:01:00,2011-12-31 23:59:00,2012-01-01 00:01:00,2012-12-30 23:49:00,628295,71731,2202.3469242910214,2.3887526447246743,0.2789728290418368,0.5324336758165925,0.074849174706171,0.1,750.0,0.0001,saga,0.0,,750.0,,,,,,,,,,,,,,,,,,
logistic_finalist_temporal_cv__20260716T204428Z,logistic_finalist_temporal_cv,logistic,temporal_cv,True,True,False,True,True,onehot,standard,raw_distances,40,10,True,12345,3,2003-01-06 00:01:00,2012-12-30 23:49:00,2013-01-07 00:01:00,2013-12-29 23:45:00,700026,75606,3466.35065149999,2.369658606097914,0.288085601671825,0.5443615586064598,0.0703834091399812,0.1,750.0,0.0001,saga,0.0,,750.0,,,,,,,,,,,,,,,,,,
logistic_geo_cluster40_only__20260715T040626Z,logistic_geo_cluster40_only,logistic,temporal_cv,True,True,False,True,True,onehot,standard,cluster,40,10,True,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,388.7347346249881,2.408375364743978,0.2787643164862877,0.527372071030787,0.079192021068771,0.1,500.0,0.0001,saga,,,,,,,,,,,,,,,,,,,,,
logistic_geo_raw_cluster20__20260715T035316Z,logistic_geo_raw_cluster20,logistic,temporal_cv,True,True,False,True,True,onehot,standard,raw_cluster,20,10,True,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,404.5574934580072,2.4078941956092237,0.2785991984268752,0.5276872964169381,0.0791894860399735,0.1,500.0,0.0001,saga,,,,,,,,,,,,,,,,,,,,,
logistic_geo_raw_cluster80__20260715T035957Z,logistic_geo_raw_cluster80,logistic,temporal_cv,True,True,False,True,True,onehot,standard,raw_cluster,80,10,True,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,399.7627492920001,2.4070043759653834,0.2792596706645251,0.527372071030787,0.0795593194231544,0.1,500.0,0.0001,saga,,,,,,,,,,,,,,,,,,,,,
logistic_geo_raw_distances20__20260715T041618Z,logistic_geo_raw_distances20,logistic,temporal_cv,True,True,False,True,True,onehot,standard,raw_distances,20,10,True,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,590.5467985000141,2.406840523402985,0.2785841876942013,0.5279274681397199,0.0789408187522422,0.1,500.0,0.0001,saga,,,,,,,,,,,,,,,,,,,,,
logistic_geo_raw_distances40__20260715T042919Z,logistic_geo_raw_distances40,logistic,temporal_cv,True,True,False,True,True,onehot,standard,raw_distances,40,10,True,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,779.7832132080075,2.406335459052539,0.279169606268482,0.5281976613278494,0.0793402655555781,0.1,500.0,0.0001,saga,,,,,,,,,,,,,,,,,,,,,
random_forest_baseline__20260718T030645Z,random_forest_baseline,random_forest,temporal_cv,True,True,False,True,True,ordinal,passthrough,raw_distances,40,10,False,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,38.63111708400538,2.5842798349962237,0.2887464537144058,0.5370089614074063,0.0920139709146193,0.1,500.0,0.0001,saga,0.0,,,200.0,log_loss,24.0,2.0,5.0,sqrt,True,,-1.0,,,,,,,,,
random_forest_depth_16_leaf_20__20260718T031045Z,random_forest_depth_16_leaf_20,random_forest,temporal_cv,True,True,False,True,True,ordinal,passthrough,raw_distances,40,10,False,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,46.75258933400619,2.367531367160088,0.2914033533976793,0.5459403473483541,0.0823236404977897,0.1,500.0,0.0001,saga,0.0,,,300.0,log_loss,16.0,2.0,20.0,sqrt,True,,-1.0,,,,,,,,,
random_forest_depth_16_leaf_5__20260718T030957Z,random_forest_depth_16_leaf_5,random_forest,temporal_cv,True,True,False,True,True,ordinal,passthrough,raw_distances,40,10,False,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,47.848494999983814,2.370907853475467,0.2924691154175235,0.5456101112295291,0.0850760316825661,0.1,500.0,0.0001,saga,0.0,,,300.0,log_loss,16.0,2.0,5.0,sqrt,True,,-1.0,,,,,,,,,
random_forest_depth_24_leaf_10__20260718T031140Z,random_forest_depth_24_leaf_10,random_forest,temporal_cv,True,True,False,True,True,ordinal,passthrough,raw_distances,40,10,False,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,53.249880833987845,2.4345659263211585,0.2927993515363485,0.543778801843318,0.0876301798558772,0.1,500.0,0.0001,saga,0.0,,,300.0,log_loss,24.0,2.0,10.0,sqrt,True,,-1.0,,,,,,,,,
random_forest_depth_24_leaf_25__20260718T031236Z,random_forest_depth_24_leaf_25,random_forest,temporal_cv,True,True,False,True,True,ordinal,passthrough,raw_distances,40,10,False,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,48.855475999997,2.383010041302958,0.2930245125264564,0.5473813776850448,0.0851803292507083,0.1,500.0,0.0001,saga,0.0,,,300.0,log_loss,24.0,2.0,25.0,sqrt,True,,-1.0,,,,,,,,,
random_forest_depth_32_leaf_10__20260718T032548Z,random_forest_depth_32_leaf_10,random_forest,temporal_cv,True,True,False,True,True,ordinal,passthrough,raw_distances,40,10,False,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,58.966145582991885,2.444067205004779,0.2927543193383269,0.5432684369324067,0.0881927611066824,0.1,500.0,0.0001,saga,0.0,,,300.0,log_loss,32.0,2.0,10.0,sqrt,True,,-1.0,,,,,,,,,
random_forest_depth_32_leaf_25__20260718T032641Z,random_forest_depth_32_leaf_25,random_forest,temporal_cv,True,True,False,True,True,ordinal,passthrough,raw_distances,40,10,False,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,51.478671457996825,2.3894173907931138,0.2913733319323316,0.5472012488929585,0.0839127678336671,0.1,500.0,0.0001,saga,0.0,,,300.0,log_loss,32.0,2.0,25.0,sqrt,True,,-1.0,,,,,,,,,
random_forest_depth_None_leaf_25__20260718T032732Z,random_forest_depth_None_leaf_25,random_forest,temporal_cv,True,True,False,True,True,ordinal,passthrough,raw_distances,40,10,False,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,50.187388040998485,2.389449134012913,0.2915384499917441,0.5468860235068074,0.0839752703087253,0.1,500.0,0.0001,saga,0.0,,,300.0,log_loss,,2.0,25.0,sqrt,True,,-1.0,,,,,,,,,
xgboost_baseline__20260718T035717Z,xgboost_baseline,xgboost,temporal_cv,True,True,False,True,True,ordinal,passthrough,raw_distances,40,10,False,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,63.570797332999064,2.3097244697486237,0.3039673366457017,0.5591948242993741,0.0896518431604707,0.1,500.0,0.0001,saga,0.0,,,200.0,log_loss,24.0,2.0,5.0,sqrt,True,,-1.0,200.0,6.0,0.1,1.0,1.0,1.0,0.0,1.0,
xgboost_depth_4_child_1__20260719T031630Z,xgboost_depth_4_child_1,xgboost,temporal_cv,True,True,False,True,True,ordinal,passthrough,raw_distances,40,10,False,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,52.04870312497951,2.332119508049059,0.2968072171602696,0.5502033954277308,0.0819005227809516,0.1,500.0,0.0001,saga,0.0,,,200.0,log_loss,24.0,2.0,5.0,sqrt,True,,-1.0,200.0,4.0,0.1,1.0,1.0,1.0,0.0,1.0,
xgboost_depth_4_child_5__20260719T031723Z,xgboost_depth_4_child_5,xgboost,temporal_cv,True,True,False,True,True,ordinal,passthrough,raw_distances,40,10,False,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,52.07957233401248,2.332218486587915,0.2972875606058331,0.5507888140020114,0.082844865066062,0.1,500.0,0.0001,saga,0.0,,,200.0,log_loss,24.0,2.0,5.0,sqrt,True,,-1.0,200.0,4.0,0.1,1.0,1.0,5.0,0.0,1.0,
xgboost_depth_6_child_1__20260719T031828Z,xgboost_depth_6_child_1,xgboost,temporal_cv,True,True,False,True,True,ordinal,passthrough,raw_distances,40,10,False,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,63.4264376659994,2.3097244697486237,0.3039673366457017,0.5591948242993741,0.0896518431604707,0.1,500.0,0.0001,saga,0.0,,,200.0,log_loss,24.0,2.0,5.0,sqrt,True,,-1.0,200.0,6.0,0.1,1.0,1.0,1.0,0.0,1.0,
xgboost_depth_6_child_5__20260719T031932Z,xgboost_depth_6_child_5,xgboost,temporal_cv,True,True,False,True,True,ordinal,passthrough,raw_distances,40,10,False,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,63.26890454199747,2.308958103855334,0.3048229484081118,0.560725919032108,0.0894636386700516,0.1,500.0,0.0001,saga,0.0,,,200.0,log_loss,24.0,2.0,5.0,sqrt,True,,-1.0,200.0,6.0,0.1,1.0,1.0,5.0,0.0,1.0,
xgboost_depth_8_child_1__20260719T032051Z,xgboost_depth_8_child_1,xgboost,temporal_cv,True,True,False,True,True,ordinal,passthrough,raw_distances,40,10,False,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,76.98976533301175,2.3123150556405836,0.3052282381903061,0.5592098350320479,0.0950263910711873,0.1,500.0,0.0001,saga,0.0,,,200.0,log_loss,24.0,2.0,5.0,sqrt,True,,-1.0,200.0,8.0,0.1,1.0,1.0,1.0,0.0,1.0,
xgboost_depth_8_child_5__20260719T032208Z,xgboost_depth_8_child_5,xgboost,temporal_cv,True,True,False,True,True,ordinal,passthrough,raw_distances,40,10,False,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,75.53560754100909,2.3076296216019285,0.3056785601705219,0.5615665200618443,0.0927330907894082,0.1,500.0,0.0001,saga,0.0,,,200.0,log_loss,24.0,2.0,5.0,sqrt,True,,-1.0,200.0,8.0,0.1,1.0,1.0,5.0,0.0,1.0,
xgboost_finalist__20260719T041113Z,xgboost_finalist,xgboost,temporal_cv,True,True,False,True,True,ordinal,passthrough,raw_distances,40,10,False,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,229.1272878749878,2.2908749626977274,0.3091010072201624,0.5663849652501538,0.0905318789203801,0.1,500.0,0.0001,saga,0.0,,,200.0,log_loss,24.0,2.0,5.0,sqrt,True,,-1.0,600.0,8.0,0.03,0.8,0.7,5.0,0.0,12.0,0.0
xgboost_finalist__20260719T042555Z,xgboost_finalist,xgboost,temporal_cv,True,True,False,True,True,ordinal,passthrough,raw_distances,40,10,False,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,234.2268432500132,2.2908749626977274,0.3091010072201624,0.5663849652501538,0.0905318789203801,0.1,500.0,0.0001,saga,0.0,,,200.0,log_loss,24.0,2.0,5.0,sqrt,True,,-1.0,600.0,8.0,0.03,0.8,0.7,5.0,0.0,12.0,0.0
xgboost_finalist__20260719T042555Z,xgboost_finalist,xgboost,temporal_cv,True,True,False,True,True,ordinal,passthrough,raw_distances,40,10,False,12345,2,2003-01-06 00:01:00,2011-12-31 23:59:00,2012-01-01 00:01:00,2012-12-30 23:49:00,628295,71731,255.00852329199552,2.2800122925064428,0.3095593258145014,0.5712592881738718,0.0874960643729851,0.1,500.0,0.0001,saga,0.0,,,200.0,log_loss,24.0,2.0,5.0,sqrt,True,,-1.0,600.0,8.0,0.03,0.8,0.7,5.0,0.0,12.0,0.0
xgboost_finalist__20260719T042555Z,xgboost_finalist,xgboost,temporal_cv,True,True,False,True,True,ordinal,passthrough,raw_distances,40,10,False,12345,3,2003-01-06 00:01:00,2012-12-30 23:49:00,2013-01-07 00:01:00,2013-12-29 23:45:00,700026,75606,267.57151458301814,2.261028693159446,0.3236383355818321,0.5837764198608576,0.0858514759996064,0.1,500.0,0.0001,saga,0.0,,,200.0,log_loss,24.0,2.0,5.0,sqrt,True,,-1.0,600.0,8.0,0.03,0.8,0.7,5.0,0.0,12.0,0.0
xgboost_gamma_0_0_alpha_0_0_lambda_0_5__20260719T035012Z,xgboost_gamma_0_0_alpha_0_0_lambda_0_5,xgboost,temporal_cv,True,True,False,True,True,ordinal,passthrough,raw_distances,40,10,False,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,77.00271770800464,2.301740845094275,0.3070295261111694,0.5638931836262928,0.094266597346261,0.1,500.0,0.0001,saga,0.0,,,200.0,log_loss,24.0,2.0,5.0,sqrt,True,,-1.0,200.0,8.0,0.1,0.8,0.7,5.0,0.0,0.5,0.0
xgboost_gamma_0_0_alpha_0_0_lambda_2_0__20260719T035130Z,xgboost_gamma_0_0_alpha_0_0_lambda_2_0,xgboost,temporal_cv,True,True,False,True,True,ordinal,passthrough,raw_distances,40,10,False,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,77.21249045801233,2.298586255714292,0.3075999339527762,0.5641633768144223,0.0949721209780812,0.1,500.0,0.0001,saga,0.0,,,200.0,log_loss,24.0,2.0,5.0,sqrt,True,,-1.0,200.0,8.0,0.1,0.8,0.7,5.0,0.0,2.0,0.0
xgboost_gamma_0_0_alpha_0_0_lambda_5_0__20260719T035250Z,xgboost_gamma_0_0_alpha_0_0_lambda_5_0,xgboost,temporal_cv,True,True,False,True,True,ordinal,passthrough,raw_distances,40,10,False,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,77.84092891699402,2.2963007351873075,0.3076899983488194,0.5640733124183791,0.0932462079529805,0.1,500.0,0.0001,saga,0.0,,,200.0,log_loss,24.0,2.0,5.0,sqrt,True,,-1.0,200.0,8.0,0.1,0.8,0.7,5.0,0.0,5.0,0.0
xgboost_gamma_0_0_alpha_0_1_lambda_1_0__20260719T035408Z,xgboost_gamma_0_0_alpha_0_1_lambda_1_0,xgboost,temporal_cv,True,True,False,True,True,ordinal,passthrough,raw_distances,40,10,False,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,76.95256791598513,2.300918664618546,0.307074558309191,0.5624821747549498,0.0921386086612175,0.1,500.0,0.0001,saga,0.0,,,200.0,log_loss,24.0,2.0,5.0,sqrt,True,,-1.0,200.0,8.0,0.1,0.8,0.7,5.0,0.1,1.0,0.0
xgboost_gamma_0_0_alpha_0_5_lambda_1_0__20260719T035527Z,xgboost_gamma_0_0_alpha_0_5_lambda_1_0,xgboost,temporal_cv,True,True,False,True,True,ordinal,passthrough,raw_distances,40,10,False,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,77.74362141700112,2.3006982495368513,0.3077200198141671,0.5634128401807292,0.093593793811456,0.1,500.0,0.0001,saga,0.0,,,200.0,log_loss,24.0,2.0,5.0,sqrt,True,,-1.0,200.0,8.0,0.1,0.8,0.7,5.0,0.5,1.0,0.0
